pizza_id,order_id,pizza_name_id,quantity,order_date,order_time,unit_price,total_price,pizza_size,pizza_category,pizza_ingredients,pizza_name,order_month,order_day_name,is_weekend,order_hour,time_of_day,price_band
1,1,hawaiian_m,1,2015-01-01,11:38:36,13.25,13.25,M,Classic,"Sliced Ham, Pineapple, Mozzarella Cheese",The Hawaiian Pizza,January,Thursday,False,11,Lunch,Standard
2,2,classic_dlx_m,1,2015-01-01,11:57:40,16.0,16.0,M,Classic,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",The Classic Deluxe Pizza,January,Thursday,False,11,Lunch,Standard
3,2,five_cheese_l,1,2015-01-01,11:57:40,18.5,18.5,L,Veggie,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic",The Five Cheese Pizza,January,Thursday,False,11,Lunch,Premium
4,2,ital_supr_l,1,2015-01-01,11:57:40,20.75,20.75,L,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",The Italian Supreme Pizza,January,Thursday,False,11,Lunch,Premium
5,2,mexicana_m,1,2015-01-01,11:57:40,16.0,16.0,M,Veggie,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic",The Mexicana Pizza,January,Thursday,False,11,Lunch,Standard
6,2,thai_ckn_l,1,2015-01-01,11:57:40,20.75,20.75,L,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",The Thai Chicken Pizza,January,Thursday,False,11,Lunch,Premium
7,3,ital_supr_m,1,2015-01-01,12:12:28,16.5,16.5,M,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",The Italian Supreme Pizza,January,Thursday,False,12,Lunch,Standard
8,3,prsc_argla_l,1,2015-01-01,12:12:28,20.75,20.75,L,Supreme,"Prosciutto di San Daniele, Arugula, Mozzarella Cheese",The Prosciutto and Arugula Pizza,January,Thursday,False,12,Lunch,Premium
9,4,ital_supr_m,1,2015-01-01,12:16:31,16.5,16.5,M,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",The Italian Supreme Pizza,January,Thursday,False,12,Lunch,Standard
10,5,ital_supr_m,1,2015-01-01,12:21:30,16.5,16.5,M,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",The Italian Supreme Pizza,January,Thursday,False,12,Lunch,Standard
11,6,bbq_ckn_s,1,2015-01-01,12:29:36,12.75,12.75,S,Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",The Barbecue Chicken Pizza,January,Thursday,False,12,Lunch,Standard
12,6,the_greek_s,1,2015-01-01,12:29:36,12.0,12.0,S,Classic,"Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions",The Greek Pizza,January,Thursday,False,12,Lunch,Budget
13,7,spinach_supr_s,1,2015-01-01,12:50:37,12.5,12.5,S,Supreme,"Spinach, Red Onions, Pepperoni, Tomatoes, Artichokes, Kalamata Olives, Garlic, Asiago Cheese",The Spinach Supreme Pizza,January,Thursday,False,12,Lunch,Budget
14,8,spinach_supr_s,1,2015-01-01,12:51:37,12.5,12.5,S,Supreme,"Spinach, Red Onions, Pepperoni, Tomatoes, Artichokes, Kalamata Olives, Garlic, Asiago Cheese",The Spinach Supreme Pizza,January,Thursday,False,12,Lunch,Budget
15,9,classic_dlx_s,1,2015-01-01,12:52:01,12.0,12.0,S,Classic,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",The Classic Deluxe Pizza,January,Thursday,False,12,Lunch,Budget
16,9,green_garden_s,1,2015-01-01,12:52:01,12.0,12.0,S,Veggie,"Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese",The Green Garden Pizza,January,Thursday,False,12,Lunch,Budget
17,9,ital_cpcllo_l,1,2015-01-01,12:52:01,20.5,20.5,L,Classic,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano",The Italian Capocollo Pizza,January,Thursday,False,12,Lunch,Premium
18,9,ital_supr_l,1,2015-01-01,12:52:01,20.75,20.75,L,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",The Italian Supreme Pizza,January,Thursday,False,12,Lunch,Premium
19,9,ital_supr_s,1,2015-01-01,12:52:01,12.5,12.5,S,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",The Italian Supreme Pizza,January,Thursday,False,12,Lunch,Budget
20,9,mexicana_s,1,2015-01-01,12:52:01,12.0,12.0,S,Veggie,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic",The Mexicana Pizza,January,Thursday,False,12,Lunch,Budget
21,9,spicy_ital_l,1,2015-01-01,12:52:01,20.75,20.75,L,Supreme,"Capocollo, Tomatoes, Goat Cheese, Artichokes, Peperoncini verdi, Garlic",The Spicy Italian Pizza,January,Thursday,False,12,Lunch,Premium
22,9,spin_pesto_l,1,2015-01-01,12:52:01,20.75,20.75,L,Veggie,"Spinach, Artichokes, Tomatoes, Sun-dried Tomatoes, Garlic, Pesto Sauce",The Spinach Pesto Pizza,January,Thursday,False,12,Lunch,Premium
23,9,veggie_veg_s,1,2015-01-01,12:52:01,12.0,12.0,S,Veggie,"Mushrooms, Tomatoes, Red Peppers, Green Peppers, Red Onions, Zucchini, Spinach, Garlic",The Vegetables + Vegetables Pizza,January,Thursday,False,12,Lunch,Budget
24,10,mexicana_l,1,2015-01-01,13:00:15,20.25,20.25,L,Veggie,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic",The Mexicana Pizza,January,Thursday,False,13,Lunch,Premium
25,10,southw_ckn_l,1,2015-01-01,13:00:15,20.75,20.75,L,Chicken,"Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce",The Southwest Chicken Pizza,January,Thursday,False,13,Lunch,Premium
26,11,bbq_ckn_l,1,2015-01-01,13:02:59,20.75,20.75,L,Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",The Barbecue Chicken Pizza,January,Thursday,False,13,Lunch,Premium
27,11,cali_ckn_l,1,2015-01-01,13:02:59,20.75,20.75,L,Chicken,"Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese",The California Chicken Pizza,January,Thursday,False,13,Lunch,Premium
28,11,cali_ckn_m,1,2015-01-01,13:02:59,16.75,16.75,M,Chicken,"Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese",The California Chicken Pizza,January,Thursday,False,13,Lunch,Standard
29,11,pepperoni_l,1,2015-01-01,13:02:59,15.25,15.25,L,Classic,"Mozzarella Cheese, Pepperoni",The Pepperoni Pizza,January,Thursday,False,13,Lunch,Standard
30,12,cali_ckn_l,1,2015-01-01,13:04:41,20.75,20.75,L,Chicken,"Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese",The California Chicken Pizza,January,Thursday,False,13,Lunch,Premium
31,12,cali_ckn_s,1,2015-01-01,13:04:41,12.75,12.75,S,Chicken,"Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese",The California Chicken Pizza,January,Thursday,False,13,Lunch,Standard
32,12,ckn_pesto_l,1,2015-01-01,13:04:41,20.75,20.75,L,Chicken,"Chicken, Tomatoes, Red Peppers, Spinach, Garlic, Pesto Sauce",The Chicken Pesto Pizza,January,Thursday,False,13,Lunch,Premium
33,12,ital_supr_m,1,2015-01-01,13:04:41,16.5,16.5,M,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",The Italian Supreme Pizza,January,Thursday,False,13,Lunch,Standard
34,13,mexicana_l,1,2015-01-01,13:11:55,20.25,20.25,L,Veggie,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic",The Mexicana Pizza,January,Thursday,False,13,Lunch,Premium
35,14,the_greek_s,1,2015-01-01,13:14:19,12.0,12.0,S,Classic,"Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions",The Greek Pizza,January,Thursday,False,13,Lunch,Budget
